Date,Commodity,Price
1/1/87,Energy,24.76
2/1/87,Energy,23.58
3/1/87,Energy,24.22
4/1/87,Energy,24.17
5/1/87,Energy,24.81
6/1/87,Energy,24.91
7/1/87,Energy,26.04
8/1/87,Energy,25.1
9/1/87,Energy,24.37
10/1/87,Energy,24.86
11/1/87,Energy,23.98
12/1/87,Energy,23.41
1/1/88,Energy,23.37
2/1/88,Energy,22.04
3/1/88,Energy,20.89
4/1/88,Energy,22.71
5/1/88,Energy,22.41
6/1/88,Energy,21.66
7/1/88,Energy,21.01
8/1/88,Energy,21.14
9/1/88,Energy,19.32
10/1/88,Energy,18.61
11/1/88,Energy,19.32
12/1/88,Energy,21.8
1/1/89,Energy,23.48
2/1/89,Energy,23.02
3/1/89,Energy,24.91
4/1/89,Energy,26.07
5/1/89,Energy,24.76
6/1/89,Energy,23.91
7/1/89,Energy,24.09
8/1/89,Energy,23.32
9/1/89,Energy,24
10/1/89,Energy,25.37
11/1/89,Energy,25.92
12/1/89,Energy,27.11
1/1/90,Energy,28.87
2/1/90,Energy,27.12
3/1/90,Energy,25.12
4/1/90,Energy,23.24
5/1/90,Energy,23.27
6/1/90,Energy,22.21
7/1/90,Energy,24.1
8/1/90,Energy,34.12
9/1/90,Energy,41.71
10/1/90,Energy,44.11
11/1/90,Energy,41.41
12/1/90,Energy,36.11
1/1/91,Energy,31.26
2/1/91,Energy,26.32
3/1/91,Energy,26.26
4/1/91,Energy,26.11
5/1/91,Energy,26.09
6/1/91,Energy,24.73
7/1/91,Energy,25.9
8/1/91,Energy,26.36
9/1/91,Energy,27.57
10/1/91,Energy,29.43
11/1/91,Energy,28.47
12/1/91,Energy,25.58
1/1/92,Energy,24.39
2/1/92,Energy,24.2
3/1/92,Energy,23.81
4/1/92,Energy,25.43
5/1/92,Energy,26.6
6/1/92,Energy,27.89
7/1/92,Energy,27.22
8/1/92,Energy,26.99
9/1/92,Energy,27.99
10/1/92,Energy,28.09
11/1/92,Energy,26.59
12/1/92,Energy,25.37
1/1/93,Energy,24.26
2/1/93,Energy,24.93
3/1/93,Energy,25.89
4/1/93,Energy,25.98
5/1/93,Energy,25.58
6/1/93,Energy,24.41
7/1/93,Energy,23.62
8/1/93,Energy,23.76
9/1/93,Energy,23.02
10/1/93,Energy,23.32
11/1/93,Energy,22.09
12/1/93,Energy,20.53
1/1/94,Energy,21.15
2/1/94,Energy,21.1
3/1/94,Energy,20.53
4/1/94,Energy,21.58
5/1/94,Energy,22.62
6/1/94,Energy,23.29
7/1/94,Energy,24.28
8/1/94,Energy,23.07
9/1/94,Energy,21.9
10/1/94,Energy,22.5
11/1/94,Energy,23.44
12/1/94,Energy,22.45
1/1/95,Energy,22.99
2/1/95,Energy,23.58
3/1/95,Energy,23.49
4/1/95,Energy,25.33
5/1/95,Energy,25.13
6/1/95,Energy,24.12
7/1/95,Energy,22.35
8/1/95,Energy,22.72
9/1/95,Energy,23.57
10/1/95,Energy,23.02
11/1/95,Energy,24.11
12/1/95,Energy,26.11
1/1/96,Energy,26.4
2/1/96,Energy,28.36
3/1/96,Energy,28.54
4/1/96,Energy,28.93
5/1/96,Energy,26.73
6/1/96,Energy,26.16
7/1/96,Energy,27.56
8/1/96,Energy,28.01
9/1/96,Energy,29.89
10/1/96,Energy,32.33
11/1/96,Energy,31.5
12/1/96,Energy,33.86
1/1/97,Energy,32.69
2/1/97,Energy,28.44
3/1/97,Energy,26.26
4/1/97,Energy,24.59
5/1/97,Energy,26.64
6/1/97,Energy,24.85
7/1/97,Energy,25.7
8/1/97,Energy,26.47
9/1/97,Energy,26.71
10/1/97,Energy,28.42
11/1/97,Energy,27.34
12/1/97,Energy,24.2
1/1/98,Energy,21.87
2/1/98,Energy,21.01
3/1/98,Energy,19.9
4/1/98,Energy,20.39
5/1/98,Energy,21.01
6/1/98,Energy,18.55
7/1/98,Energy,18.44
8/1/98,Energy,17.69
9/1/98,Energy,19.49
10/1/98,Energy,18.4
11/1/98,Energy,16.88
12/1/98,Energy,15.2
1/1/99,Energy,16.64
2/1/99,Energy,15.61
3/1/99,Energy,18.01
4/1/99,Energy,21.45
5/1/99,Energy,21.43
6/1/99,Energy,22.18
7/1/99,Energy,25.68
8/1/99,Energy,27.65
9/1/99,Energy,29.71
10/1/99,Energy,29.6
11/1/99,Energy,31.94
12/1/99,Energy,33.09
1/1/00,Energy,33.32
2/1/00,Energy,36.15
3/1/00,Energy,36.13
4/1/00,Energy,31.3
5/1/00,Energy,37.07
6/1/00,Energy,40.51
7/1/00,Energy,39.07
8/1/00,Energy,40.63
9/1/00,Energy,44.96
10/1/00,Energy,43.27
11/1/00,Energy,45.7
12/1/00,Energy,42.48
1/1/01,Energy,42.16
2/1/01,Energy,40.68
3/1/01,Energy,36.89
4/1/01,Energy,38.21
5/1/01,Energy,39.88
6/1/01,Energy,38.45
7/1/01,Energy,33.97
8/1/01,Energy,35.01
9/1/01,Energy,33.76
10/1/01,Energy,28.61
11/1/01,Energy,26.68
12/1/01,Energy,26.25
1/1/02,Energy,26.8
2/1/02,Energy,27.75
3/1/02,Energy,32.24
4/1/02,Energy,34.72
5/1/02,Energy,34.53
6/1/02,Energy,32.79
7/1/02,Energy,34.2
8/1/02,Energy,35.23
9/1/02,Energy,37.74
10/1/02,Energy,37.81
11/1/02,Energy,34.16
12/1/02,Energy,39.7
1/1/03,Energy,43.62
2/1/03,Energy,48.25
3/1/03,Energy,43.41
4/1/03,Energy,37
5/1/03,Energy,38.56
6/1/03,Energy,40.36
7/1/03,Energy,40.27
8/1/03,Energy,41.75
9/1/03,Energy,38.44
10/1/03,Energy,41.11
11/1/03,Energy,40.23
12/1/03,Energy,43.77
1/1/04,Energy,45.18
2/1/04,Energy,44.12
3/1/04,Energy,47.59
4/1/04,Energy,47.78
5/1/04,Energy,53.59
6/1/04,Energy,50.8
7/1/04,Energy,53.95
8/1/04,Energy,58.14
9/1/04,Energy,58.05
10/1/04,Energy,66.84
11/1/04,Energy,59.11
12/1/04,Energy,56.14
1/1/05,Energy,60.77
2/1/05,Energy,61.98
3/1/05,Energy,71.12
4/1/05,Energy,70.25
5/1/05,Energy,65.99
6/1/05,Energy,72.91
7/1/05,Energy,77.25
8/1/05,Energy,86.78
9/1/05,Energy,89.69
10/1/05,Energy,86.04
11/1/05,Energy,78.71
12/1/05,Energy,83.15
1/1/06,Energy,85.43
2/1/06,Energy,80.26
3/1/06,Energy,82.07
4/1/06,Energy,91.3
5/1/06,Energy,89.86
6/1/06,Energy,88.45
7/1/06,Energy,94.03
8/1/06,Energy,94.71
9/1/06,Energy,80.29
10/1/06,Energy,76.99
11/1/06,Energy,79.15
12/1/06,Energy,82.23
1/1/07,Energy,73.61
2/1/07,Energy,79.14
3/1/07,Energy,82.71
4/1/07,Energy,88.76
5/1/07,Energy,88.87
6/1/07,Energy,92.82
7/1/07,Energy,97.99
8/1/07,Energy,91.38
9/1/07,Energy,98.07
10/1/07,Energy,105.72
11/1/07,Energy,117.1
12/1/07,Energy,116.28
1/1/08,Energy,118.6
2/1/08,Energy,124.4
3/1/08,Energy,133.99
4/1/08,Energy,143.13
5/1/08,Energy,159.76
6/1/08,Energy,172.74
7/1/08,Energy,173.48
8/1/08,Energy,147.61
9/1/08,Energy,130.98
10/1/08,Energy,100.5
11/1/08,Energy,78.81
12/1/08,Energy,64.38
1/1/09,Energy,66.27
2/1/09,Energy,61.8
3/1/09,Energy,64.05
4/1/09,Energy,66.52
5/1/09,Energy,74.24
6/1/09,Energy,85.8
7/1/09,Energy,80.81
8/1/09,Energy,88.64
9/1/09,Energy,83.2
10/1/09,Energy,90.89
11/1/09,Energy,95.01
12/1/09,Energy,95.04
1/1/10,Energy,98.5
2/1/10,Energy,95.6
3/1/10,Energy,99.58
4/1/10,Energy,104.85
5/1/10,Energy,95.68
6/1/10,Energy,95.1
7/1/10,Energy,94.88
8/1/10,Energy,96.45
9/1/10,Energy,97.23
10/1/10,Energy,102.19
11/1/10,Energy,106.09
12/1/10,Energy,113.85
1/1/11,Energy,120.13
2/1/11,Energy,127.44
3/1/11,Energy,138.37
4/1/11,Energy,148.26
5/1/11,Energy,139.06
6/1/11,Energy,138.72
7/1/11,Energy,141.94
8/1/11,Energy,134.6
9/1/11,Energy,135.39
10/1/11,Energy,133.59
11/1/11,Energy,133.97
12/1/11,Energy,131.09
1/1/12,Energy,134.11
2/1/12,Energy,142.79
3/1/12,Energy,147.88
4/1/12,Energy,142.43
5/1/12,Energy,132.28
6/1/12,Energy,115.97
7/1/12,Energy,124.56
8/1/12,Energy,135.38
9/1/12,Energy,135.21
10/1/12,Energy,134.15
11/1/12,Energy,132.33
12/1/12,Energy,132.37
1/1/13,Energy,135.93
2/1/13,Energy,139.79
3/1/13,Energy,132.54
4/1/13,Energy,126.61
5/1/13,Energy,126.3
6/1/13,Energy,125.71
7/1/13,Energy,129.89
8/1/13,Energy,133.04
9/1/13,Energy,133.77
10/1/13,Energy,131.75
11/1/13,Energy,130.35
12/1/13,Energy,134.15
1/1/14,Energy,131.22
2/1/14,Energy,133.97
3/1/14,Energy,130.67
4/1/14,Energy,130.68
5/1/14,Energy,132.33
6/1/14,Energy,134.32
7/1/14,Energy,127.95
8/1/14,Energy,122.39
9/1/14,Energy,117.44
10/1/14,Energy,106.77
11/1/14,Energy,97.3
12/1/14,Energy,79.8
1/1/15,Energy,63.75
2/1/15,Energy,73.77
3/1/15,Energy,71.15
4/1/15,Energy,73.36
5/1/15,Energy,79.26
6/1/15,Energy,76.68
7/1/15,Energy,69.97
8/1/15,Energy,60.27
9/1/15,Energy,60.31
10/1/15,Energy,60.51
11/1/15,Energy,55.87
12/1/15,Energy,48.3
1/1/16,Energy,40.86
2/1/16,Energy,42.84
3/1/16,Energy,48.74
4/1/16,Energy,52.28
5/1/16,Energy,57.65
6/1/16,Energy,60.23
7/1/16,Energy,57.28
8/1/16,Energy,58.42
9/1/16,Energy,59.09
10/1/16,Energy,64.39
11/1/16,Energy,60.93
12/1/16,Energy,69.59
1/1/17,Energy,70.23
2/1/17,Energy,70.1
3/1/17,Energy,65.94
4/1/17,Energy,67.44
5/1/17,Energy,64.87
6/1/17,Energy,60.61
7/1/17,Energy,62.91
8/1/17,Energy,66.41
9/1/17,Energy,70.74
10/1/17,Energy,73.28
11/1/17,Energy,78.95
12/1/17,Energy,80.83
1/1/18,Energy,87.41
2/1/18,Energy,82.11
3/1/18,Energy,82.81
4/1/18,Energy,88.4
5/1/18,Energy,94.6
6/1/18,Energy,93.67
7/1/18,Energy,93.03
8/1/18,Energy,91.99
9/1/18,Energy,98.72
10/1/18,Energy,100.22
11/1/18,Energy,84.44
12/1/18,Energy,74.9
1/1/19,Energy,76.2
2/1/19,Energy,80.09
3/1/19,Energy,82.22
4/1/19,Energy,86.43
5/1/19,Energy,85.18
6/1/19,Energy,76.34
7/1/19,Energy,77.04
8/1/19,Energy,71.59
9/1/19,Energy,75.56
10/1/19,Energy,72.67
11/1/19,Energy,76.62
12/1/19,Energy,79.08
1/1/20,Energy,76.06
2/1/20,Energy,66.31
3/1/20,Energy,42.65
4/1/20,Energy,31.63
5/1/20,Energy,39.25
6/1/20,Energy,48.52
7/1/20,Energy,51.65
8/1/20,Energy,54.3
9/1/20,Energy,51.17
10/1/20,Energy,51.62
11/1/20,Energy,55.3
12/1/20,Energy,63.75
1/1/21,Energy,69.88
2/1/21,Energy,80.38
3/1/21,Energy,80.77
4/1/21,Energy,80.8
5/1/21,Energy,86.28
6/1/21,Energy,93.92
7/1/21,Energy,98.29
8/1/21,Energy,96.32
9/1/21,Energy,107.18
10/1/21,Energy,123.37
11/1/21,Energy,115.01
12/1/21,Energy,112.37
1/1/22,Energy,121.31
2/1/22,Energy,131.27
3/1/22,Energy,163.19
4/1/22,Energy,153.25
1/1/79,Agriculture,57.59
2/1/79,Agriculture,58.91
3/1/79,Agriculture,59.85
4/1/79,Agriculture,60.65
5/1/79,Agriculture,61.25
6/1/79,Agriculture,65.69
7/1/79,Agriculture,66.59
8/1/79,Agriculture,65.37
9/1/79,Agriculture,66.31
10/1/79,Agriculture,65.45
11/1/79,Agriculture,65.76
12/1/79,Agriculture,66.55
1/1/80,Agriculture,66.77
2/1/80,Agriculture,68.94
3/1/80,Agriculture,67
4/1/80,Agriculture,65.84
5/1/80,Agriculture,68.38
6/1/80,Agriculture,67.66
7/1/80,Agriculture,68.01
8/1/80,Agriculture,69.07
9/1/80,Agriculture,71.22
10/1/80,Agriculture,71.55
11/1/80,Agriculture,72.39
12/1/80,Agriculture,68.35
1/1/81,Agriculture,68.66
2/1/81,Agriculture,66.49
3/1/81,Agriculture,65.87
4/1/81,Agriculture,64.56
5/1/81,Agriculture,62.88
6/1/81,Agriculture,61.34
7/1/81,Agriculture,61.23
8/1/81,Agriculture,59.68
9/1/81,Agriculture,58.37
10/1/81,Agriculture,57.62
11/1/81,Agriculture,57.42
12/1/81,Agriculture,56.44
1/1/82,Agriculture,57.07
2/1/82,Agriculture,56.58
3/1/82,Agriculture,55.46
4/1/82,Agriculture,55.19
5/1/82,Agriculture,55.04
6/1/82,Agriculture,52.81
7/1/82,Agriculture,51.43
8/1/82,Agriculture,50.1
9/1/82,Agriculture,49.84
10/1/82,Agriculture,48.42
11/1/82,Agriculture,49.69
12/1/82,Agriculture,50.26
1/1/83,Agriculture,50.37
2/1/83,Agriculture,51.14
3/1/83,Agriculture,52.15
4/1/83,Agriculture,54.26
5/1/83,Agriculture,55.71
6/1/83,Agriculture,55.4
7/1/83,Agriculture,56.47
8/1/83,Agriculture,61.36
9/1/83,Agriculture,62.32
10/1/83,Agriculture,62.43
11/1/83,Agriculture,61.73
12/1/83,Agriculture,61.77
1/1/84,Agriculture,63.19
2/1/84,Agriculture,62.29
3/1/84,Agriculture,63.67
4/1/84,Agriculture,64.26
5/1/84,Agriculture,65.87
6/1/84,Agriculture,62.79
7/1/84,Agriculture,58.02
8/1/84,Agriculture,57.14
9/1/84,Agriculture,56.87
10/1/84,Agriculture,55.58
11/1/84,Agriculture,54.46
12/1/84,Agriculture,52.86
1/1/85,Agriculture,52.65
2/1/85,Agriculture,52.41
3/1/85,Agriculture,52.98
4/1/85,Agriculture,53.2
5/1/85,Agriculture,51.47
6/1/85,Agriculture,50.23
7/1/85,Agriculture,48.8
8/1/85,Agriculture,47.89
9/1/85,Agriculture,47.05
10/1/85,Agriculture,46.93
11/1/85,Agriculture,48.22
12/1/85,Agriculture,50.62
1/1/86,Agriculture,51.96
2/1/86,Agriculture,50.9
3/1/86,Agriculture,51.2
4/1/86,Agriculture,50.27
5/1/86,Agriculture,48.86
6/1/86,Agriculture,46.57
7/1/86,Agriculture,45.41
8/1/86,Agriculture,45.15
9/1/86,Agriculture,46.33
10/1/86,Agriculture,46.29
11/1/86,Agriculture,46.35
12/1/86,Agriculture,45.85
1/1/87,Agriculture,47.01
2/1/87,Agriculture,47.15
3/1/87,Agriculture,46.77
4/1/87,Agriculture,47.71
5/1/87,Agriculture,49.44
6/1/87,Agriculture,48.79
7/1/87,Agriculture,48.15
8/1/87,Agriculture,48.39
9/1/87,Agriculture,51.37
10/1/87,Agriculture,51.94
11/1/87,Agriculture,53.78
12/1/87,Agriculture,54.62
1/1/88,Agriculture,55.64
2/1/88,Agriculture,53.77
3/1/88,Agriculture,53.55
4/1/88,Agriculture,54.21
5/1/88,Agriculture,55.34
6/1/88,Agriculture,60.76
7/1/88,Agriculture,60.45
8/1/88,Agriculture,57.2
9/1/88,Agriculture,57.79
10/1/88,Agriculture,57.5
11/1/88,Agriculture,57.41
12/1/88,Agriculture,58.23
1/1/89,Agriculture,57.64
2/1/89,Agriculture,57.54
3/1/89,Agriculture,59.11
4/1/89,Agriculture,59.07
5/1/89,Agriculture,59.31
6/1/89,Agriculture,59.44
7/1/89,Agriculture,58.2
8/1/89,Agriculture,55.98
9/1/89,Agriculture,56.23
10/1/89,Agriculture,56.23
11/1/89,Agriculture,55.57
12/1/89,Agriculture,55.08
1/1/90,Agriculture,55.58
2/1/90,Agriculture,55.81
3/1/90,Agriculture,56.25
4/1/90,Agriculture,56.58
5/1/90,Agriculture,56.05
6/1/90,Agriculture,54.9
7/1/90,Agriculture,54.86
8/1/90,Agriculture,54.38
9/1/90,Agriculture,54.38
10/1/90,Agriculture,54.35
11/1/90,Agriculture,53.67
12/1/90,Agriculture,53.79
1/1/91,Agriculture,54.13
2/1/91,Agriculture,54.65
3/1/91,Agriculture,55.23
4/1/91,Agriculture,54.62
5/1/91,Agriculture,53.52
6/1/91,Agriculture,53.89
7/1/91,Agriculture,53.39
8/1/91,Agriculture,54.27
9/1/91,Agriculture,54.73
10/1/91,Agriculture,54.8
11/1/91,Agriculture,54.37
12/1/91,Agriculture,54.29
1/1/92,Agriculture,54.97
2/1/92,Agriculture,54.73
3/1/92,Agriculture,54.66
4/1/92,Agriculture,53.89
5/1/92,Agriculture,54.07
6/1/92,Agriculture,54.27
7/1/92,Agriculture,53.78
8/1/92,Agriculture,53.53
9/1/92,Agriculture,53.11
10/1/92,Agriculture,52.19
11/1/92,Agriculture,52.76
12/1/92,Agriculture,52.84
1/1/93,Agriculture,53.72
2/1/93,Agriculture,54.18
3/1/93,Agriculture,54.86
4/1/93,Agriculture,56.03
5/1/93,Agriculture,57.75
6/1/93,Agriculture,56.69
7/1/93,Agriculture,58.79
8/1/93,Agriculture,58.56
9/1/93,Agriculture,58.47
10/1/93,Agriculture,58.6
11/1/93,Agriculture,59.65
12/1/93,Agriculture,60.74
1/1/94,Agriculture,60.82
2/1/94,Agriculture,60.98
3/1/94,Agriculture,60.78
4/1/94,Agriculture,60.98
5/1/94,Agriculture,62.77
6/1/94,Agriculture,63.81
7/1/94,Agriculture,66.27
8/1/94,Agriculture,66.54
9/1/94,Agriculture,67.94
10/1/94,Agriculture,65.74
11/1/94,Agriculture,65.67
12/1/94,Agriculture,66.1
1/1/95,Agriculture,66.19
2/1/95,Agriculture,66.99
3/1/95,Agriculture,67.04
4/1/95,Agriculture,66.61
5/1/95,Agriculture,66.59
6/1/95,Agriculture,66.42
7/1/95,Agriculture,67.54
8/1/95,Agriculture,66.56
9/1/95,Agriculture,66.19
10/1/95,Agriculture,67.32
11/1/95,Agriculture,67.78
12/1/95,Agriculture,67.19
1/1/96,Agriculture,67.31
2/1/96,Agriculture,68.6
3/1/96,Agriculture,68.55
4/1/96,Agriculture,71.34
5/1/96,Agriculture,72.29
6/1/96,Agriculture,70.65
7/1/96,Agriculture,69.62
8/1/96,Agriculture,69.02
9/1/96,Agriculture,67.31
10/1/96,Agriculture,65.19
11/1/96,Agriculture,64.9
12/1/96,Agriculture,64.47
1/1/97,Agriculture,66.5
2/1/97,Agriculture,68.02
3/1/97,Agriculture,69.95
4/1/97,Agriculture,69.49
5/1/97,Agriculture,69.73
6/1/97,Agriculture,67.5
7/1/97,Agriculture,65
8/1/97,Agriculture,64.13
9/1/97,Agriculture,63.58
10/1/97,Agriculture,62.38
11/1/97,Agriculture,62.43
12/1/97,Agriculture,61.59
1/1/98,Agriculture,60.19
2/1/98,Agriculture,61.34
3/1/98,Agriculture,59.93
4/1/98,Agriculture,60.28
5/1/98,Agriculture,58.79
6/1/98,Agriculture,56.52
7/1/98,Agriculture,55.74
8/1/98,Agriculture,54.37
9/1/98,Agriculture,54.66
10/1/98,Agriculture,55.13
11/1/98,Agriculture,55.96
12/1/98,Agriculture,54.93
1/1/99,Agriculture,55.16
2/1/99,Agriculture,52.7
3/1/99,Agriculture,51.31
4/1/99,Agriculture,50.57
5/1/99,Agriculture,50.31
6/1/99,Agriculture,49.94
7/1/99,Agriculture,48.34
8/1/99,Agriculture,49.3
9/1/99,Agriculture,50.17
10/1/99,Agriculture,50.06
11/1/99,Agriculture,50
12/1/99,Agriculture,49.86
1/1/00,Agriculture,50.28
2/1/00,Agriculture,50.37
3/1/00,Agriculture,50
4/1/00,Agriculture,50.36
5/1/00,Agriculture,50.04
6/1/00,Agriculture,49.14
7/1/00,Agriculture,47.95
8/1/00,Agriculture,47.71
9/1/00,Agriculture,47.5
10/1/00,Agriculture,47.56
11/1/00,Agriculture,47.37
12/1/00,Agriculture,48.08
1/1/01,Agriculture,48
2/1/01,Agriculture,47.44
3/1/01,Agriculture,47.2
4/1/01,Agriculture,46.62
5/1/01,Agriculture,46.95
6/1/01,Agriculture,46.83
7/1/01,Agriculture,48.82
8/1/01,Agriculture,48.67
9/1/01,Agriculture,47.15
10/1/01,Agriculture,44.87
11/1/01,Agriculture,46.09
12/1/01,Agriculture,46.31
1/1/02,Agriculture,46.62
2/1/02,Agriculture,46.64
3/1/02,Agriculture,47.57
4/1/02,Agriculture,47.58
5/1/02,Agriculture,48.25
6/1/02,Agriculture,50.02
7/1/02,Agriculture,51.67
8/1/02,Agriculture,52.44
9/1/02,Agriculture,54.22
10/1/02,Agriculture,54.33
11/1/02,Agriculture,53.6
12/1/02,Agriculture,54.66
1/1/03,Agriculture,54.95
2/1/03,Agriculture,54.93
3/1/03,Agriculture,54.26
4/1/03,Agriculture,53.79
5/1/03,Agriculture,53.37
6/1/03,Agriculture,52.86
7/1/03,Agriculture,52.3
8/1/03,Agriculture,53.12
9/1/03,Agriculture,54.47
10/1/03,Agriculture,57.44
11/1/03,Agriculture,58.93
12/1/03,Agriculture,58.83
1/1/04,Agriculture,60.47
2/1/04,Agriculture,62
3/1/04,Agriculture,64.12
4/1/04,Agriculture,63.66
5/1/04,Agriculture,62.38
6/1/04,Agriculture,61.13
7/1/04,Agriculture,59.83
8/1/04,Agriculture,59
9/1/04,Agriculture,58.77
10/1/04,Agriculture,57.95
11/1/04,Agriculture,58.28
12/1/04,Agriculture,58.62
1/1/05,Agriculture,59.03
2/1/05,Agriculture,61
3/1/05,Agriculture,63.98
4/1/05,Agriculture,62.48
5/1/05,Agriculture,62.28
6/1/05,Agriculture,62.15
7/1/05,Agriculture,61.95
8/1/05,Agriculture,61.15
9/1/05,Agriculture,61.82
10/1/05,Agriculture,62.67
11/1/05,Agriculture,62.05
12/1/05,Agriculture,63.43
1/1/06,Agriculture,65.57
2/1/06,Agriculture,67.55
3/1/06,Agriculture,66.4
4/1/06,Agriculture,66.56
5/1/06,Agriculture,68.97
6/1/06,Agriculture,67.69
7/1/06,Agriculture,68.36
8/1/06,Agriculture,68.32
9/1/06,Agriculture,67.63
10/1/06,Agriculture,69.24
11/1/06,Agriculture,71.57
12/1/06,Agriculture,72.68
1/1/07,Agriculture,73.43
2/1/07,Agriculture,75.37
3/1/07,Agriculture,75.26
4/1/07,Agriculture,75.69
5/1/07,Agriculture,77.25
6/1/07,Agriculture,79.8
7/1/07,Agriculture,81.36
8/1/07,Agriculture,81.74
9/1/07,Agriculture,85.15
10/1/07,Agriculture,87.54
11/1/07,Agriculture,89.99
12/1/07,Agriculture,92.45
1/1/08,Agriculture,97.5
2/1/08,Agriculture,105.54
3/1/08,Agriculture,111.54
4/1/08,Agriculture,113.58
5/1/08,Agriculture,113.67
6/1/08,Agriculture,117.13
7/1/08,Agriculture,115.39
8/1/08,Agriculture,106.67
9/1/08,Agriculture,101.67
10/1/08,Agriculture,87.37
11/1/08,Agriculture,82.74
12/1/08,Agriculture,80.25
1/1/09,Agriculture,85.24
2/1/09,Agriculture,84.52
3/1/09,Agriculture,83.72
4/1/09,Agriculture,86.57
5/1/09,Agriculture,91.54
6/1/09,Agriculture,91.48
7/1/09,Agriculture,88.11
8/1/09,Agriculture,91.28
9/1/09,Agriculture,90.17
10/1/09,Agriculture,91.81
11/1/09,Agriculture,94.37
12/1/09,Agriculture,95.28
1/1/10,Agriculture,96.23
2/1/10,Agriculture,93.72
3/1/10,Agriculture,92.12
4/1/10,Agriculture,93.39
5/1/10,Agriculture,92.56
6/1/10,Agriculture,92.45
7/1/10,Agriculture,95.73
8/1/10,Agriculture,99.79
9/1/10,Agriculture,103.79
10/1/10,Agriculture,108.72
11/1/10,Agriculture,113.04
12/1/10,Agriculture,118.46
1/1/11,Agriculture,123.85
2/1/11,Agriculture,129.92
3/1/11,Agriculture,125.91
4/1/11,Agriculture,127.46
5/1/11,Agriculture,123.87
6/1/11,Agriculture,123
7/1/11,Agriculture,122.65
8/1/11,Agriculture,123.44
9/1/11,Agriculture,121.38
10/1/11,Agriculture,115.34
11/1/11,Agriculture,112.02
12/1/11,Agriculture,109.43
1/1/12,Agriculture,111.13
2/1/12,Agriculture,113.37
3/1/12,Agriculture,114.54
4/1/12,Agriculture,114.75
5/1/12,Agriculture,112.9
6/1/12,Agriculture,110.53
7/1/12,Agriculture,118.44
8/1/12,Agriculture,118.07
9/1/12,Agriculture,118.11
10/1/12,Agriculture,114.94
11/1/12,Agriculture,112.56
12/1/12,Agriculture,112.13
1/1/13,Agriculture,111.19
2/1/13,Agriculture,110.02
3/1/13,Agriculture,109.01
4/1/13,Agriculture,106.74
5/1/13,Agriculture,107.08
6/1/13,Agriculture,107.1
7/1/13,Agriculture,104.71
8/1/13,Agriculture,102.61
9/1/13,Agriculture,102.6
10/1/13,Agriculture,102.86
11/1/13,Agriculture,102.06
12/1/13,Agriculture,102.2
